20200901_16-02-17 , 54
20200901_16-03-18 , 48
20200901_16-04-44 , 56
20200901_16-19-50 , 54
20200901_16-20-05 , 48
20200901_16-20-20 , 56
20200901_16-20-34 , 50
20200901_16-20-48 , 55
20200901_16-21-02 , 43
20200901_16-21-17 , 53
20200901_16-21-32 , 49
20200901_16-21-46 , 57
20200901_16-22-28 , 54
20200901_16-22-42 , 48
20200901_16-22-56 , 56
20200901_16-23-10 , 50
20200901_16-23-24 , 55
20200901_16-23-37 , 43
20200901_16-23-51 , 53
20200901_16-24-05 , 49
20200901_16-24-19 , 57
20200901_16-24-32 , 54
20200901_16-24-45 , 58
20200901_16-24-59 , 61
20200901_16-25-14 , 55
20200901_16-25-28 , 53
20200901_16-25-44 , 50
20200901_16-25-58 , 60
20200901_16-26-11 , 58
20200901_16-26-24 , 56
20200901_16-43-47 , 54
20200901_16-44-00 , 48
20200901_16-44-12 , 56
20200901_16-44-24 , 50
20200901_16-44-36 , 55
20200901_16-44-47 , 43
20200901_16-45-00 , 53
20200901_16-45-12 , 49
20200901_16-45-23 , 57
20200901_16-45-37 , 54
20200901_16-45-51 , 58
20200901_16-46-04 , 61
20200901_16-46-16 , 55
20200901_16-46-29 , 53
20200901_16-46-42 , 50
20200901_16-46-55 , 60
20200901_16-47-09 , 58
20200901_16-47-21 , 56
20200901_17-39-17 , 54
20200901_17-39-29 , 48
20200901_17-39-41 , 56
20200901_17-39-52 , 50
20200901_17-40-03 , 55
20200901_17-40-16 , 43
20200901_17-40-30 , 53
20200901_17-40-43 , 49
20200901_17-40-55 , 57
20200901_17-41-08 , 54
20200901_17-41-21 , 58
20200901_17-42-27 , 54
20200901_17-42-39 , 48
20200901_17-42-50 , 56
20200901_17-43-01 , 50
20200901_17-43-14 , 55
20200901_17-43-26 , 43
20200901_17-43-39 , 53
20200901_17-43-52 , 49
20200901_17-44-05 , 57
20200901_17-44-20 , 54
20200901_17-44-36 , 58
20200901_17-44-53 , 61
20200901_17-45-47 , 54
20200901_17-46-00 , 48
20200901_17-46-12 , 56
20200901_17-46-24 , 50
20200901_17-46-35 , 55
20200901_17-46-47 , 43
20200901_17-46-58 , 53
20200901_17-47-10 , 49
20200901_17-47-21 , 57
20200901_17-47-32 , 54
20200901_17-47-44 , 58
20200901_17-47-56 , 61
20200901_17-48-07 , 55
20200901_17-48-18 , 53
20200901_17-48-30 , 50
20200901_17-48-41 , 60
20200901_17-48-52 , 58
20200901_17-49-04 , 56
20200901_17-49-15 , 49
20200901_17-49-27 , 56
20200901_17-49-38 , 51
20200901_17-49-49 , 48
20200901_17-50-01 , 51
20200901_17-50-12 , 47
20200901_17-50-23 , 55
20200901_17-50-34 , 49
20200901_17-50-46 , 63
20200901_17-50-57 , 61
20200901_17-51-09 , 68
20200901_17-51-20 , 67
20200901_17-51-31 , 64
20200901_17-51-42 , 72
20200901_17-51-54 , 73
20200901_17-52-05 , 64
20200901_17-52-17 , 66
20200901_17-52-30 , 68
20200901_17-52-41 , 68
20200901_17-52-53 , 66
20200901_17-53-04 , 68
20200901_17-53-15 , 63
20200901_17-53-26 , 65
20200901_17-53-38 , 67
20200901_17-53-49 , 66
20200901_17-54-00 , 68
20200901_17-54-12 , 65
20200901_17-54-23 , 60
20200901_17-54-35 , 62
20200901_17-54-47 , 65
20200901_17-54-58 , 62
20200901_17-55-10 , 62
20200901_17-55-24 , 64
20200901_17-55-36 , 57
20200901_17-55-47 , 61
20200901_17-55-58 , 56
20200901_17-56-10 , 60
20200901_17-56-21 , 53
20200901_17-56-32 , 64
20200901_17-56-44 , 63
20200901_17-56-55 , 69
20200901_17-57-07 , 59
20200901_17-57-18 , 62
20200901_17-57-29 , 57
20200901_17-57-42 , 68
20200901_17-57-53 , 55
20200901_17-58-05 , 63
20200901_17-58-16 , 61
20200901_17-58-28 , 64
20200901_17-58-41 , 55
20200901_17-58-52 , 61
20200901_17-59-04 , 54
20200901_17-59-16 , 68
20200901_17-59-27 , 59
20200901_17-59-39 , 64
20200901_17-59-51 , 56
20200901_18-00-03 , 65
20200901_18-00-14 , 56
20200901_18-00-25 , 63
20200901_18-00-38 , 54
20200901_18-00-50 , 64
20200901_18-01-02 , 59
20200901_18-01-14 , 64
20200901_18-01-25 , 61
20200901_18-01-36 , 62
20200901_18-01-48 , 58
20200901_18-01-59 , 61
20200901_18-02-11 , 69
